가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude,total review,good service,bad service,good traffic,bad traffic,good cost,bad cost,good taste,bad taste,good_senti,bad_senti
벵디,식당,한식,"돌문어덮밥, 흑돼지간장덮밥",3.0,제주특별자치도 제주시 구좌읍 평대리 2031-2,33.5377667,126.8372139,52.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,67.0,2.0,1.0
오조 해녀의 집,식당,한식,전복죽,3.0,제주특별자치도 서귀포시 성산읍 오조리 3,33.469806899999995,126.9223318,10.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,2.0,0.0
모살물,식당,한식,"객주리조림, 횟집",3.0,제주특별자치도 제주시 연동 291-10,33.4904731,126.4945135,17.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0
그리운바다 성산포,식당,일식,"고등어회, 갈치회",3.0,제주특별자치도 서귀포시 성산읍 성산리 360-10,33.4697602,126.93005459999999,25.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,2.0,1.0
카페 공작소,카페,-,-,3.0,제주특별자치도 제주시 구좌읍 세화리 1477-4,33.5246648,126.85993059999998,18.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0
산방산초가집,식당,한식,전복해물전골,3.0,제주특별자치도 서귀포시 안덕면 화순리 421-1,33.2455947,126.33872379999998,16.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,1.0,1.0
월정리갈비밥,식당,한식,"갈비, 갈비밥",3.0,제주특별자치도 제주시 구좌읍 월정리 8-1,33.5548185,126.79690149999999,15.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1.0,2.0
저팔계 깡통연탄구이,식당,한식,"흑돼지, 생오겹살",3.0,제주특별자치도 제주시 조천읍 함덕리 1271,33.541698,126.666754,26.0,100.0,0.0,0.0,0.0,0.0,0.0,67.0,33.0,2.0,0.0
가시식당,식당,한식,"몸국, 두루치기",3.0,제주도 서귀포시 표선면 가시리 1898,33.353066399999996,126.7713119,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,1.0,1.0
닐모리 동동,카페,-,-,3.0,제주도 제주시 용담3동 2396 (오다펜션 1F),33.5176911,126.4877067,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
사랑분식,식당,한식,"모닥치기, 떡볶이",3.0,제주특별자치도 제주시 일도1동 1144-2,33.512638,126.5281163,22.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1.0,1.0
연미정,식당,한식,전복돌솥밥,3.0,제주특별자치도 제주시 구좌읍 세화리 3648-4,33.5244604,126.8536124,12.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0
잠녀해녀촌,식당,한식,"성게보말죽, 소라물회",3.0,제주특별자치도 제주시 조천읍 함덕리 3150-2,33.5465655,126.65963970000001,20.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,60.0,2.0,1.0
88버거,식당,양식,수제버거,2.9,제주특별자치도 서귀포시 서귀동 255-9,33.2492549,126.5672067,30.0,0.0,0.0,0.0,0.0,67.0,33.0,57.0,43.0,2.0,1.0
살롱 드 라방,카페,-,-,2.9,제주특별자치도 제주시 애월읍 하가리 1415,33.457870799999995,126.3490061,5.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,4.0,0.0
성읍 칠십리식당,식당,한식,"흑돼지, 꿩",2.9,제주특별자치도 서귀포시 표선면 성읍리 580,33.4112985,126.78192560000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주시새우리,식당,한식,"딱새우, 전복김밥",2.9,제주특별자치도 제주시 삼도2동 1098-3,33.514671299999996,126.5205015,36.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,75.0,2.0,1.0
다정이네,식당,한식,"김밥, 멸치김밥, 분식",2.9,제주특별자치도 서귀포시 서귀동 255-7,33.2494552,126.56697920000002,17.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,2.0,0.0
파도소리해녀촌,식당,한식,"보말칼국수, 보말죽",2.8,제주특별자치도 제주시 우도면 874-2,33.506491100000005,126.95336100000002,23.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,1.0,0.0
